index,movie_title,release_date,genre,MPAA_rating,total_gross,inflation_adjusted_gross
192,The Santa Clause,11-Nov-94,Comedy,PG,"$144,833,357 ","$298,369,717 "
193,A Low Down Dirty Shame,23-Nov-94,Action,R,"$29,317,886 ","$60,321,919 "
194,The Jungle Book,25-Dec-94,Adventure,PG,"$44,342,956 ","$88,930,321 "
195,Houseguest,6-Jan-95,Comedy,PG,"$26,325,256 ","$51,016,522 "
196,Bad Company,20-Jan-95,Thriller/Suspense,R,"$3,523,909 ","$6,829,092 "
197,Miami Rhapsody,27-Jan-95,Romantic Comedy,PG-13,"$5,086,578 ","$9,857,435 "
198,The Jerky Boys,3-Feb-95,Comedy,R,"$7,555,256 ","$14,641,561 "
199,Heavy Weights,17-Feb-95,Comedy,PG,"$17,671,310 ","$34,245,779 "
200,Man of the House,3-Mar-95,Comedy,PG,"$40,029,009 ","$77,573,459 "
201,Roommates,3-Mar-95,Comedy,PG,"$12,076,989 ","$23,404,369 "
202,Tall Tale,24-Mar-95,Western,PG,"$8,247,627 ","$15,983,331 "
203,A Pyromaniac's Love Story,28-Mar-95,Romantic Comedy,PG,"$468,240 ","$907,414 "
204,Jefferson in Paris,31-Mar-95,Drama,PG-13,"$2,461,628 ","$4,770,461 "
205,Funny Bones,31-Mar-95,Comedy,R,"$529,135 ","$1,025,425 "
206,A Goofy Movie,7-Apr-95,Comedy,G,"$35,336,439 ","$68,479,579 "
207,While You Were Sleeping,21-Apr-95,Romantic Comedy,PG,"$81,057,016 ","$157,082,900 "
208,Crimson Tide,12-May-95,Action,R,"$91,387,195 ","$177,102,077 "
209,Mad Love,26-May-95,Drama,PG-13,"$15,446,532 ","$29,934,306 "
210,Pocahontas,10-Jun-95,Adventure,G,"$141,579,773 ","$274,370,957 "
211,Judge Dredd,30-Jun-95,Action,R,"$34,687,912 ","$67,222,776 "
212,Operation Dumbo Drop,28-Jul-95,Adventure,PG,"$24,670,346 ","$47,809,421 "
213,Dangerous Minds,11-Aug-95,Drama,R,"$84,919,401 ","$164,552,293 "
214,A Kid in King Arthur's Court,11-Aug-95,Adventure,PG,"$13,406,717 ","$25,981,285 "
215,The Tie That Binds,8-Sep-95,Thriller/Suspense,R,"$5,762,795 ","$11,167,895 "
216,Unstrung Heroes,15-Sep-95,Drama,PG,"$7,929,000 ","$15,365,850 "
217,The Big Green,29-Sep-95,Comedy,PG,"$17,736,619 ","$34,372,339 "
218,Dead Presidents,4-Oct-95,Drama,R,"$24,120,194 ","$46,741,467 "
219,The Scarlet Letter,13-Oct-95,Drama,R,"$10,359,006 ","$20,075,033 "
220,Feast of July,13-Oct-95,Drama,R,"$293,274 ","$568,342 "
221,Powder,27-Oct-95,Drama,PG-13,"$30,833,914 ","$59,727,216 "
222,Toy Story,22-Nov-95,Adventure,G,"$191,796,233 ","$370,409,631 "
223,Father of the Bride Part II,8-Dec-95,Comedy,PG,"$76,578,911 ","$147,658,438 "
224,Nixon,20-Dec-95,Drama,R,"$13,668,249 ","$26,302,005 "
225,Tom and Huck,22-Dec-95,Adventure,PG,"$23,837,227 ","$45,911,517 "
226,Mr. Holland's Opus,29-Dec-95,Drama,PG,"$82,582,604 ","$157,508,868 "
227,White Squall,2-Feb-96,Adventure,PG-13,"$10,229,300 ","$19,509,726 "
228,Muppet Treasure Island,16-Feb-96,Adventure,G,"$34,327,391 ","$65,470,567 "
229,Mr. Wrong,16-Feb-96,Romantic Comedy,PG-13,"$12,805,071 ","$24,422,334 "
230,Before and After,23-Feb-96,Drama,PG-13,"$8,642,118 ","$16,482,589 "
231,Up Close & Personal,1-Mar-96,Drama,PG-13,"$51,045,801 ","$97,356,578 "
