rank,name,revenues,revenue_percent_change,profits,profits_percent_change,assets,market_value,change_in_rank,employees
152,McDonald's,23223,0.21,7545,0.60,53854,183874,5,200000
153,Southern,23113,0.13,2393,0.23,127534,76877,7,27164
154,C.H. Robinson Worldwide,23102,0.43,844,0.67,7028,13856,37,16877
155,Truist Financial,23064,0.06,6440,0.44,541241,75354,36,51462
156,Applied Materials,23063,0.34,5888,0.63,25825,116431,20,27000
157,Freeport0McMoRan,22845,0.61,4306,6.19,48022,72361,58,24700
158,Lithia Motors,22832,0.74,1060,1.25,11147,8910,73,21150
159,Blackstone,22577,2.70,5857,4.60,41196,88907,295,3795
160,Hartford Financial Services Group,22390,0.09,2365,0.36,76578,23816,18,18100
161,Aflac,22106,0.00,4325,0.10,157542,41813,30,12447
162,Whirlpool,21985,0.13,1783,0.65,20285,10101,8,69000
163,Union Pacific,21804,0.12,6523,0.22,63525,171682,10,32124
164,International Paper,21780,0.06,1752,2.64,25243,17301,23,38200
165,Altria Group,21111,0.01,2475,0.45,39523,94952,27,6000
166,CDW,20821,0.13,989,0.25,13199,24140,5,13900
167,ManpowerGroup,20724,0.15,382,15.07,9829,5026,2,30000
168,PG&E,20642,0.12,102,0.00,103327,29434,8,26000
169,Carrier Global,20613,0.18,1664,0.16,26172,39127,2,58000
170,Baker Hughes,20502,0.01,219,0.00,35308,37410,30,54000
171,Cleveland0Cliffs,20444,2.82,2988,0.00,18975,16891,330,26000
172,United States Steel,20275,1.08,4174,0.00,17816,9832,138,24540
173,Becton Dickinson,20248,0.18,2092,1.39,53866,75749,4,75000
174,CarMax,20092,0.06,747,0.16,21542,15599,38,26889
175,Sherwin0Williams,19945,0.09,1864,0.08,20667,65038,13,61626
176,Builders FirstSource,19894,1.32,1725,4.50,10714,11409,174,28000
177,Marsh & McLennan,19820,0.15,3143,0.56,34388,85681,2,83000
178,PNC Financial Services Group,19698,0.18,5674,0.25,557191,77203,58,58547
179,Lumen Technologies,19687,0.05,2033,0.00,57993,11533,40,36000
180,Avnet,19535,0.11,193,0.00,8925,4017,12,14500
181,Tenet Healthcare,19485,0.11,914,1.29,27579,9388,14,88968
182,Kimberly0Clark,19440,0.02,1814,0.23,17837,41496,24,45000
183,Kohl's,19433,0.22,938,0.00,15054,7775,12,67000
184,BlackRock,19374,0.20,5901,0.20,152648,116186,8,18400
185,Jones Lang LaSalle,19367,0.17,962,1.39,15505,11946,1,98200
186,Lear,19263,0.13,374,1.36,13352,8513,7,160100
187,Lincoln National,19230,0.10,1405,1.82,387301,11272,15,10848
188,Charles Schwab,18996,0.57,5855,0.78,667270,159676,63,33400
189,Ross Stores,18916,0.51,1723,19.18,13640,31742,53,100000
