Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2005-0739-DOM,2005,739,,Natural,Climatological,Wildfire,Forest fire,,,Dominican Republic (the),DOM,Caribbean,Americas,"Bohechio, San Juan de la Maguana districts (San Juan province), San José de Las Matas district (Santiago province), San Ignacio de Sabaneta district (Santiago Rodriguez province)",Drought,,,Yes,,,,1000,Km2,,,,,2005,3,11,2005,3,11,,,,,,,,,,,,72.07141045,2,,36985;36989;37002;37010,"Bohechio, San Ignacio de Sabaneta, San José de Las Matas, San Juan de la Maguana (Adm2)."
2005-0380-ESP,2005,380,,Natural,Climatological,Wildfire,Forest fire,,,Spain,ESP,Southern Europe,Europe,Guadalajara district (Castilla-La Mancha province),Barbecue and high winds,,,,,,,,Km2,,,,,2005,7,18,2005,7,18,11,1,,,1,,,,,2050000,2844401,72.07141045,2,,25804,Guadalajara (Adm2).
2005-0367-FRA,2005,367,,Natural,Climatological,Wildfire,Forest fire,,,France,FRA,Western Europe,Europe,"Gardanne, Aix en Provence, Meyreuil, Lançon-de-Provence, Val-de-Cibourg (Bouches du Rhone), Calvi, Calenzana, Haut Nebbio, Pieve, Vallecalle, Murato, Montemaggiore, Montegrosso, Zilia, Avapessa et Aregno (Haute Corse), Saint-Zacharie, Draguignan, Saint-Tropez, Vidauban, Muy (Var) , Meze (Herault)",,,,,,,,36,Km2,,,,,2005,6,20,2005,8,26,2,,,,,,,,,10000,13875,72.07141045,2,,16271;16287;16322;16324,"Bouches-du-Rhone, Haute-Corse, Herault, Var (Adm2)."
2005-0430-IDN,2005,430,,Natural,Climatological,Wildfire,Forest fire,,,Indonesia,IDN,South-Eastern Asia,Asia,"Sintang, Sanggau, Ketapang districts (Kalimatan Barat province), Kotawaringin Timur, Katingan, Seruyan, Kapuas (Kalimantan Tengah province), Kota Baru, Tapin, Hulusungai Selatan, Banjar, Tanahlaut (Kalimantan Selatan province) (Sumatra Isl.)",,,,,,,,,Km2,,,,,2005,8,9,2005,8,9,,,,,,,,,,,,72.07141045,2,,18102;18108;18110;18114;18116;18117;73689;73691;73763;73839;73848;73851,"Banjar, Hulusungai Selatan, Kapuas, Katingan, Ketapang, Kota Baru, Kotawaringin Timur, Sanggau, Seruyan, Sintang, Tanahlaut, Tapin (Adm2)."
2006-9741-CHN,2006,9741,,Natural,Climatological,Drought,Drought,,,China,CHN,Eastern Asia,Asia,"Sichuan Sheng, Chongqing Shi, Guizhou Sheng, Zhejiang Sheng, Anhui Sheng, Jiangxi Sheng, Hunan Sheng, Hubei Sheng provinces",,Heat wave,,,,,,,Km2,,,,,2006,5,1,2006,9,10,134,,18000000,,18000000,,,,,2910000,3911480,74.39638749,1,898;900;905;911;912;914;924;930,,"Anhui Sheng, Chongqing Shi, Guizhou Sheng, Hubei Sheng, Hunan Sheng, Jiangxi Sheng, Sichuan Sheng, Zhejiang Sheng (Adm1)."
2006-9233-GNB,2006,9233,,Natural,Climatological,Drought,Drought,,,Guinea-Bissau,GNB,Western Africa,Africa,"Quinara, Tombali provinces, Bolama/Bijagos Isl.(=province)",,Famine,,,,,,,Km2,,,,,2006,5,,2006,5,,,,32000,,32000,,,,,,,74.39638749,1,1387;1391;1393,,"Bolama/bijagos, Quinara, Tombali (Adm1)."
2006-9570-AFG,2006,9570,,Natural,Climatological,Drought,Drought,,,Afghanistan,AFG,Southern Asia,Asia,"Badakhshan, Badghis, Baghlan, Balkh, Bamyan, Daykundi, Faryab, Ghor, Jawzjan, Kunduz, Samangan, Sar-e-Pul, Takhar, Uruzgan provinces",,,,,,,,,Km2,,,,,2006,7,,2006,,,,,1900000,,1900000,,,,,,,74.39638749,1,272;273;274;275;276;278;280;283;289;298;299;300;99878;99881,,"Badakhshan, Badghis, Baghlan, Balkh, Bamyan, Daykundi, Faryab, Ghor, Jawzjan, Kunduz, Samangan, Sar-e-Pul, Takhar, Uruzgan (Adm1)."
2006-0057-AUS,2006,57,,Natural,Climatological,Wildfire,Forest fire,,,Australia,AUS,Australia and New Zealand,Oceania,"Victoria, New South Wales, Tasmania provinces",,,,,,,,,Km2,,,,,2006,1,,2006,4,,3,,,81,81,,,,,50000,67208,74.39638749,1,470;475;476,,"New South Wales, Tasmania, Victoria (Adm1)."
2006-0666-AUS,2006,666,,Natural,Climatological,Wildfire,Forest fire,,,Australia,AUS,Australia and New Zealand,Oceania,"Tasmania, Victoria, New South Wales provinces",,,,,,,,,Km2,,,,,2006,12,,2006,12,,1,,,60,60,,,,,50000,67208,74.39638749,1,470;475;476,,"New South Wales, Tasmania, Victoria (Adm1)."
2006-9554-AUS,2006,9554,,Natural,Climatological,Drought,Drought,,,Australia,AUS,Australia and New Zealand,Oceania,NO DATA: all country has been selected,,,,,,,,,Km2,,,,,2006,10,,2006,,,,,,,,,,,,,,74.39638749,1,468;469;470;471;472;473;474;475;476;477,,"Australian Capital Territory, Coral Sea Islands Territory, New South Wales, Northern Territory, Other Territories, Queensland, South Australia, Tasmania, Victoria, Western Australia (Adm1)."
